NAME,FIELD_NUMBER,LENGTH,WIDTH,LATITUDE,LONGITUDE,LOCATION,Geometry Point
Brightview,1,235,130,53.549386122657765,-113.58872637915988,"(53.549386122657765, -113.58872637915988)",POINT (-113.58872637915988 53.549386122657765)
LaPerle W,2,240,160,53.53148323421429,-113.64392570493547,"(53.53148323421429, -113.64392570493547)",POINT (-113.64392570493547 53.53148323421429)
Callingwood Park,8,300,180,53.504391906929754,-113.62722449643312,"(53.504391906929754, -113.62722449643312)",POINT (-113.62722449643312 53.504391906929754)
Notre Dame,3,200,100,53.5246557436506,-113.58878847760124,"(53.5246557436506, -113.58878847760124)",POINT (-113.58878847760124 53.5246557436506)
Queen Alexandra,2,200,130,53.51399954753673,-113.50612311036468,"(53.51399954753673, -113.50612311036468)",POINT (-113.50612311036468 53.51399954753673)
St. Bernadette,3,85,50,53.57217359581712,-113.40225945871097,"(53.57217359581712, -113.40225945871097)",POINT (-113.40225945871097 53.57217359581712)
Edmonton Soccer Centre South,2,330,210,53.49756464058212,-113.43334502268844,"(53.49756464058212, -113.43334502268844)",POINT (-113.43334502268844 53.49756464058212)
St. Andrew,2,150,90,53.563198825636114,-113.54262114816208,"(53.563198825636114, -113.54262114816208)",POINT (-113.54262114816208 53.563198825636114)
Katherine Therrien,4,300,175,53.61033826652062,-113.5290583881446,"(53.61033826652062, -113.5290583881446)",POINT (-113.5290583881446 53.61033826652062)
Ermineskin,1,270,180,53.46046569014321,-113.50474125004497,"(53.46046569014321, -113.50474125004497)",POINT (-113.50474125004497 53.46046569014321)
Carlisle Park,2,150,90,53.60399011576496,-113.52450475703932,"(53.60399011576496, -113.52450475703932)",POINT (-113.52450475703932 53.60399011576496)
Velma E Baker,1,180,90,53.481222589906636,-113.3846066517455,"(53.481222589906636, -113.3846066517455)",POINT (-113.3846066517455 53.481222589906636)
Menisa,1,180,90,53.44302335228654,-113.44997407906385,"(53.44302335228654, -113.44997407906385)",POINT (-113.44997407906385 53.44302335228654)
St. Cecilia,3,365,210,53.59339836828171,-113.47840218914354,"(53.59339836828171, -113.47840218914354)",POINT (-113.47840218914354 53.59339836828171)
Lymburn,4,240,150,53.50714636843784,-113.64551432506549,"(53.50714636843784, -113.64551432506549)",POINT (-113.64551432506549 53.50714636843784)
George Luck,3,180,70,53.47281928346673,-113.5749471082564,"(53.47281928346673, -113.5749471082564)",POINT (-113.5749471082564 53.47281928346673)
Meyonohk,1,240,160,53.45635038556553,-113.45671018654643,"(53.45635038556553, -113.45671018654643)",POINT (-113.45671018654643 53.45635038556553)
McKernan,1,300,180,53.51330792504044,-113.52408651971842,"(53.51330792504044, -113.52408651971842)",POINT (-113.52408651971842 53.51330792504044)
Homesteader,3,240,170,53.58677962188461,-113.41166694428576,"(53.58677962188461, -113.41166694428576)",POINT (-113.41166694428576 53.58677962188461)
Belvedere,1,180,120,53.59435403822781,-113.43392901888024,"(53.59435403822781, -113.43392901888024)",POINT (-113.43392901888024 53.59435403822781)
Rio Terrace,1,300,210,53.50914514263042,-113.58650601747604,"(53.50914514263042, -113.58650601747604)",POINT (-113.58650601747604 53.50914514263042)
St. Martha,3,175,90,53.5063059246123,-113.63694181615355,"(53.5063059246123, -113.63694181615355)",POINT (-113.63694181615355 53.5063059246123)
Haddow,1,300,160,53.454783347488544,-113.59521554196238,"(53.454783347488544, -113.59521554196238)",POINT (-113.59521554196238 53.454783347488544)
Bessie Nichols,2,180,100,53.48766629278329,-113.67034243793748,"(53.48766629278329, -113.67034243793748)",POINT (-113.67034243793748 53.48766629278329)
Ozerna,2,150,90,53.621525723501236,-113.45068230416062,"(53.621525723501236, -113.45068230416062)",POINT (-113.45068230416062 53.621525723501236)
Wild Rose,2,330,210,53.471376866283514,-113.38047346756514,"(53.471376866283514, -113.38047346756514)",POINT (-113.38047346756514 53.471376866283514)
Wedgewood Heights,1,180,100,53.48140061354902,-113.64404878811037,"(53.48140061354902, -113.64404878811037)",POINT (-113.64404878811037 53.48140061354902)
St. Justin,2,300,200,53.51699122464496,-113.61927940020072,"(53.51699122464496, -113.61927940020072)",POINT (-113.61927940020072 53.51699122464496)
Hairsine,4,180,110,53.60453018667016,-113.39198852873811,"(53.60453018667016, -113.39198852873811)",POINT (-113.39198852873811 53.60453018667016)
Bisset,3,180,90,53.46015536384092,-113.40046356286993,"(53.46015536384092, -113.40046356286993)",POINT (-113.40046356286993 53.46015536384092)
St. Matthew,1,250,125,53.590914094877334,-113.47480086714407,"(53.590914094877334, -113.47480086714407)",POINT (-113.47480086714407 53.590914094877334)
Belmead,3,200,100,53.5256634303227,-113.6360738114767,"(53.5256634303227, -113.6360738114767)",POINT (-113.6360738114767 53.5256634303227)
Giovanni Caboto,1,240,150,53.55722071976073,-113.48387647970665,"(53.55722071976073, -113.48387647970665)",POINT (-113.48387647970665 53.55722071976073)
Christ the King,1,330,210,53.63434525103281,-113.42399598439809,"(53.63434525103281, -113.42399598439809)",POINT (-113.42399598439809 53.63434525103281)
Primrose,2,180,100,53.5166567665938,-113.64683813873366,"(53.5166567665938, -113.64683813873366)",POINT (-113.64683813873366 53.5166567665938)
Herb Link,3,190,100,53.62450951894788,-113.53223070410981,"(53.62450951894788, -113.53223070410981)",POINT (-113.53223070410981 53.62450951894788)
Steele Heights,3,300,210,53.6090379230913,-113.42928993793848,"(53.6090379230913, -113.42928993793848)",POINT (-113.42928993793848 53.6090379230913)
Dunluce,3,210,100,53.62220192252865,-113.52528589192286,"(53.62220192252865, -113.52528589192286)",POINT (-113.52528589192286 53.62220192252865)
Father Lacombe,1,300,180,53.59057079742321,-113.50551063973458,"(53.59057079742321, -113.50551063973458)",POINT (-113.50551063973458 53.59057079742321)
Hudson,1,300,195,53.60689758381666,-113.55610126506804,"(53.60689758381666, -113.55610126506804)",POINT (-113.55610126506804 53.60689758381666)
Lago Lindo,2,180,100,53.63578364258205,-113.48528142612564,"(53.63578364258205, -113.48528142612564)",POINT (-113.48528142612564 53.63578364258205)
York Park,1,130,70,53.60110398141874,-113.4337456296562,"(53.60110398141874, -113.4337456296562)",POINT (-113.4337456296562 53.60110398141874)
Blue Quill,5,270,180,53.45970757139862,-113.52437964902309,"(53.45970757139862, -113.52437964902309)",POINT (-113.52437964902309 53.45970757139862)
Lynnwood,6,145,90,53.51607896792025,-113.58851884423245,"(53.51607896792025, -113.58851884423245)",POINT (-113.58851884423245 53.51607896792025)
LaPerle E,1,240,115,53.53288532499578,-113.63483726892193,"(53.53288532499578, -113.63483726892193)",POINT (-113.63483726892193 53.53288532499578)
Baturyn,3,240,150,53.63143219972622,-113.5049903163752,"(53.63143219972622, -113.5049903163752)",POINT (-113.5049903163752 53.63143219972622)
Malcolm Tweddle,1,330,210,53.477738709803184,-113.45590284925827,"(53.477738709803184, -113.45590284925827)",POINT (-113.45590284925827 53.477738709803184)
